PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;voltijd onderwijs;man;62;57;47;32;33;41;47;67;70;75
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;voltijd onderwijs;vrouw;95;84;78;78;74;83;93;136;157;169
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56829;B International and European Law;voltijd onderwijs;man;70;81;0;0;0;0;0;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56829;B International and European Law;voltijd onderwijs;vrouw;176;165;0;0;0;0;0;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);50902;B Religiewetenschappen;deeltijd onderwijs;man;23;15;6;6;7;4;5;7;8;12
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);50902;B Religiewetenschappen;deeltijd onderwijs;vrouw;68;46;13;8;11;17;9;19;24;26
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);50902;B Religiewetenschappen;voltijd onderwijs;man;26;24;14;16;18;15;23;31;27;30
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);50902;B Religiewetenschappen;voltijd onderwijs;vrouw;44;40;27;34;38;39;45;65;68;77
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56003;B Griekse en Latijnse Taal en Cultuur;voltijd onderwijs;man;22;22;23;30;32;25;26;27;25;24
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56003;B Griekse en Latijnse Taal en Cultuur;voltijd onderwijs;vrouw;43;43;33;43;37;32;32;32;30;28
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56034;B Geschiedenis;voltijd onderwijs;man;270;283;273;289;300;279;263;264;237;256
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56034;B Geschiedenis;voltijd onderwijs;vrouw;127;129;121;117;134;119;120;120;110;111
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56041;B Islam en Arabisch;voltijd onderwijs;man;14;16;11;8;8;4;0;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56041;B Islam en Arabisch;voltijd onderwijs;vrouw;45;38;18;13;7;3;0;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56074;B Romaanse Talen en Culturen;voltijd onderwijs;man;36;33;21;23;19;27;24;25;20;17
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56074;B Romaanse Talen en Culturen;voltijd onderwijs;vrouw;101;90;79;87;80;74;66;53;50;52
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56081;B Filosofie;voltijd onderwijs;man;136;127;113;106;117;120;128;132;135;140
